Date,Scrip,Open,High,Low,Close,Volume
20230327,00DS30,2218.01888,2222.15727,2211.27157,2215.40923,3176040000
20230327,00DSES,1353.25167,1354.69611,1346.58505,1349.68766,3176040000
20230327,00DSEX,6215.3049,6221.06911,6198.25806,6203.92453,3176040000
20230327,1JANATAMF,6.1,6.1,6.1,6.1,1750
20230327,AAMRANET,60.8,62.2,60.4,60.7,1171742
20230327,AAMRATECH,34.1,34.9,34,34.1,218681
20230327,ABB1STMF,5.2,5.2,5.2,5.2,96925
20230327,ABBANK,9.9,9.9,9.9,9.9,3766
20230327,ACI,260.2,260.2,260.2,260.2,1033
20230327,ACMELAB,85,85,85,85,143
20230327,ACTIVEFINE,19.3,19.3,19.3,19.3,1
20230327,ADNTEL,153,157.8,152.2,152.8,567243
20230327,ADVENT,22.7,22.7,22.6,22.6,383722
20230327,AFTABAUTO,24.5,24.5,24.5,24.5,83
20230327,AGNISYSL,21.9,22,21.7,21.8,212317
20230327,AGRANINS,33.9,34.8,33.8,33.8,11801
20230327,AL-HAJTEX,184.3,186.5,183.6,185.6,246538
20230327,ALARABANK,23.6,23.8,23.6,23.6,2988
20230327,ALIF,13.3,13.3,13.3,13.3,6
20230327,ALLTEX,17.5,17.5,17.5,17.5,1
20230327,AMANFEED,33.5,33.5,33.5,33.5,5
20230327,AMBEEPHA,489,489,485,488.2,491
20230327,AMCL(PRAN),252,252,252,252,2619
20230327,ANLIMAYARN,32.1,32.5,31.9,32,51907
20230327,ANWARGALV,213.3,213.3,213.3,213.3,42
20230327,AOL,36.5,36.5,36.5,36.5,63850
20230327,APEXFOODS,234,238.6,230,232.4,53852
20230327,APEXFOOT,294,296.8,287.4,288.4,86394
20230327,APEXSPINN,116,116,116,116,1368
20230327,APEXTANRY,99.3,102.9,99.3,99.4,7363
20230327,APOLOISPAT,8.2,8.2,8.2,8.2,5000
20230327,ARAMIT,259.4,259.4,258.9,259.3,637
20230327,ARAMITCEM,22,22,22,22,53
20230327,ARGONDENIM,18.2,18.2,18.2,18.2,20
20230327,ASIAINS,48.9,48.9,48.9,48.9,22
20230327,ASIAPACINS,43.6,43.7,43.6,43.6,13510
20230327,AZIZPIPES,83.1,89.5,83.1,87.9,79456
20230327,BANGAS,109,111,108.9,109.5,10963
20230327,BANKASIA,20.4,20.6,20.4,20.5,67993
20230327,BATASHOE,945,950,940,943.1,1695
20230327,BATBC,518.7,518.7,518.7,518.7,692
20230327,BDAUTOCA,120,130,120,125.6,133117
20230327,BDCOM,40.9,41.5,39.7,40,1402586
